"geo_value","time_value","cli","inperson_school_fulltime","inperson_school_parttime","tested_14d","tested_positive_14d","covid_vaccinated_or_accept","covid_vaccinated","others_masked","public_transit_1d","work_outside_home_1d","shop_1d","restaurant_1d","spent_time_1d","large_event_1d","worried_become_ill","vaccine_likely_friends","vaccine_likely_who","vaccine_likely_govt_health","vaccine_likely_politicians","confirmed_7dav_incidence_prop","wearing_mask"
"06061",2021-01-30,0.4139737,NA,NA,7.1399967,NA,82.2629724,18.1331419,81.3208095,2.7282076,22.4307725,49.1724116,12.9820883,23.8899488,5.5007572,68.5241976,42.0791851,45.4726189,36.8073063,9.8982799,30.9503129,92.8946604
"06065",2021-01-30,0.7720207,6.4326227,5.0629742,17.9411392,25.7659071,77.610676,13.3927048,91.0459117,1.4310657,25.9298028,52.9058374,7.9636775,24.7936165,5.3343575,75.902822,36.2353677,41.64408,36.056401,12.3007226,68.146147,95.3197525
"06067",2021-01-30,0.4686878,10.2621589,10.1202187,10.5587495,NA,75.2064944,11.5987041,89.3869298,1.5470988,27.0155479,46.9224193,9.476864,27.7887601,4.5704143,68.1087523,34.7846372,39.8097418,32.487487,8.7140497,27.799101,93.0556219
"06071",2021-01-30,1.598025,9.4436196,5.1732916,19.2272842,27.824969,75.5577021,11.4375993,91.0042468,1.4328776,29.6210424,50.3620449,8.1898276,24.5588382,7.3070185,74.0667396,39.9707265,35.1845587,31.7314743,11.8281668,55.6698223,96.5404114
"06073",2021-01-30,0.7631858,10.5067789,21.2380443,15.6838811,14.0687102,85.4575104,17.053253,87.5942605,2.4980112,28.1299823,49.151493,7.369523,24.9087474,3.6482131,72.9100149,40.011731,48.157664,42.1352764,12.8644059,50.8338217,96.195124
"06075",2021-01-30,0.6903603,19.1909486,8.8131247,20.5414428,6.2446092,90.1481189,10.1228259,94.3077706,14.4495674,16.1092694,48.3187746,7.7674298,22.6386971,2.3013197,76.7851354,41.0261699,56.8286761,49.9621313,17.3261617,20.4904453,97.9396262
"06077",2021-01-30,0.9786729,13.433751,18.1459266,12.3134329,NA,72.4518229,10.360351,90.4915812,0.6910414,31.4088419,52.2196531,7.6738402,24.2585812,5.3501125,76.2735152,35.4620235,38.4787376,30.6495135,11.2971317,57.0709046,94.7440824
"06079",2021-01-30,0.3293763,NA,NA,16.511103,NA,85.1897932,18.6554393,87.1217877,1.2532136,29.7912912,53.0091489,9.9101398,31.7419376,4.3580054,71.2002777,39.2630388,46.7186634,40.3666619,11.7335999,45.2488001,92.1925004
"06081",2021-01-30,0.7294502,15.2353584,16.3384635,23.1323283,10.9491178,87.9206956,9.8326692,95.992741,3.3479181,23.64773,49.174498,3.9321192,17.2589235,3.2373454,74.1831765,40.2177117,50.7607753,46.8861221,14.0594391,34.1173093,97.7665614
"06083",2021-01-30,0.9266195,13.5402588,11.2871978,19.2933414,NA,85.9243904,14.5956656,89.7676213,3.1514868,26.1520469,45.4071357,4.4935133,20.3940342,3.3582865,75.6994532,41.094,45.0243071,42.0228782,16.2772719,69.8280508,96.7881735
